dataset,model,accuracy,rate
1,596,0.949,949
1,708,0.947,947
1,795,0.946,946
1,597,0.925,925
1,950,0.914,914
1,841,0.905,905
1,641,0.901,901
1,868,0.883,883
1,772,0.851,851
3,319,0.946,946
3,177,0.922,922
3,178,0.91,910
3,675,0.886,886
3,791,0.87,870
3,277,0.807,807
3,456,0.778,778
23,533,0.871,871
23,872,0.834,834
23,469,0.831,831
23,850,0.782,782
23,985,0.779,779
23,995,0.777,777
23,921,0.754,754
23,997,0.724,724
63,784,0.974,974
63,780,0.96,960
63,783,0.959,959
63,782,0.957,957
63,319,0.954,954
63,323,0.952,952