dataset_id,model_id,balance_accuracy
0,72, 0.940536013
0,73, 0.958961474
0,74, 0.958403127
0,75, 0.999720826
0,76, 0.999441653
0,77, 0.997487437
0,78, 0.999441653
0,79, 0.999720826
0,80, 0.998883305
0,81, 0.999441653
0,82, 0.999162479
0,84, 0.732551647
0,85, 0.940536013
0,86, 0.960357342
0,87, 0.80094919
0,88, 0.999162479
0,89, 0.701563372
0,90, 1.0
0,91, 0.738414294
0,92, 0.998604132
0,93, 0.822166387
0,94, 0.996649916
0,95, 0.992741485
0,96, 0.748185371
0,705, 0.782244556
0,715, 0.620323841
0,1775, 0.603294249
0,1777, 0.654383026
2,777, 0.818754633
2,795, 0.616011861
2,877, 0.853224611
2,894, 0.631225388
2,895, 0.620801483
3,152, 0.632906102
3,902, 0.625661744
4,177, 0.854727614
4,194, 0.792110207
4,195, 0.740763932
4,196, 0.602379461
5,219, 0.626591231
5,220, 0.600070721
6,222, 0.972267985
6,223, 0.971169687
6,224, 0.977210324
6,225, 0.998352554
6,226, 0.999176277
6,227, 0.998901702
6,228, 0.999725426
6,229, 0.998901702
6,230, 0.997803405
6,231, 0.998901702
6,232, 0.999176277
6,233, 0.765179783
6,234, 0.921746293
6,235, 0.982152663
6,236, 0.984349259
6,237, 0.92778693
6,238, 0.998627128
6,239, 0.95579352
6,240, 0.999450851
6,241, 0.938495332
6,242, 0.997803405
6,243, 0.961010434
6,244, 0.995606809
6,245, 0.99752883
6,246, 0.958813839
6,347, 0.669137836
6,529, 0.602416255
6,539, 0.628500824
6,622, 0.626853377
6,625, 0.666117518
6,627, 0.650466776
6,628, 0.635914333
6,650, 0.606260297
6,1750, 0.755079627
7,97, 0.647
7,98, 0.7085
7,99, 0.6915
7,100, 0.989
7,101, 0.9905
7,102, 0.9775
7,103, 0.9915
7,104, 0.9935
7,105, 0.988
7,106, 0.9885
7,107, 0.9885
7,110, 0.7205
7,111, 0.714
7,113, 0.9815
7,115, 0.979
7,117, 0.977
7,119, 0.9695
7,120, 0.963
7,305, 0.6305
7,372, 0.7705
7,373, 0.7265
7,374, 0.7595
7,375, 0.9925
7,376, 0.9945
7,377, 0.9895
7,378, 0.9945
7,379, 0.996
7,380, 0.9895
7,381, 0.9915
7,382, 0.9915
7,384, 0.6285
7,385, 0.785
7,386, 0.744
7,388, 0.97
7,389, 0.6285
7,390, 0.9865
7,392, 0.986
7,394, 0.9775
7,395, 0.9735
7,396, 0.644
7,444, 0.8925
7,445, 0.9325
7,1030, 0.6545
7,1369, 0.911
7,1370, 0.9445
7,1477, 0.642
7,1480, 0.6295
7,1627, 0.723
7,1644, 0.8655
7,1645, 0.938
7,1801, 0.6155
7,1803, 0.6
7,1817, 0.6275
9,97, 0.611864942
9,112, 0.628905017
9,118, 0.638056169
9,251, 0.613442726
9,253, 0.609656043
9,257, 0.6099716
9,302, 0.920479647
9,308, 0.608832808
9,311, 0.620700536
9,313, 0.609024929
9,317, 0.608709372
9,319, 0.667718523
9,320, 0.69706532
9,321, 0.607762701
9,383, 0.618491638
9,389, 0.63584727
9,422, 0.608709372
9,424, 0.610287157
9,426, 0.601451562
9,433, 0.608709372
9,434, 0.626380562
9,441, 0.608709372
9,442, 0.613758283
9,444, 0.60271379
9,1022, 0.612496056
9,1024, 0.614389397
9,1027, 0.652256232
9,1029, 0.668980751
9,1032, 0.61722941
9,1035, 0.617860524
9,1038, 0.608393815
9,1040, 0.608709372
9,1042, 0.608709372
9,1044, 0.610287157
9,1045, 0.609340486
9,1347, 0.608709372
9,1354, 0.635216157
9,1358, 0.608709372
9,1359, 0.608709372
9,1366, 0.614704954
9,1367, 0.613442726
9,1368, 0.611864942
9,1369, 0.603344904
9,1370, 0.603660461
9,1371, 0.621016093
9,1483, 0.608709372
9,1484, 0.608709372
9,1487, 0.604922689
9,1488, 0.608709372
9,1489, 0.608709372
9,1490, 0.608709372
9,1491, 0.608709372
9,1492, 0.608709372
9,1493, 0.601451562
9,1496, 0.608709372
9,1622, 0.608393815
9,1623, 0.605869359
9,1624, 0.614389397
9,1633, 0.608709372
9,1642, 0.608709372
9,1644, 0.605869359
9,1799, 0.62858946
9,1808, 0.614389397
9,1810, 0.60271379
9,1818, 0.610287157
11,352, 0.848711554
11,527, 0.623441397
12,97, 0.655
12,98, 0.715
12,99, 0.7025
12,100, 0.989
12,101, 0.9895
12,102, 0.9745
12,103, 0.989
12,104, 0.99
12,105, 0.99
12,106, 0.9895
12,107, 0.9895
12,110, 0.7135
12,111, 0.7105
12,113, 0.9795
12,115, 0.98
12,117, 0.9755
12,119, 0.968
12,120, 0.964
12,304, 0.6
12,305, 0.625
12,372, 0.776
12,373, 0.7495
12,374, 0.771
12,375, 0.989
12,376, 0.99
12,377, 0.9835
12,378, 0.9935
12,379, 0.9945
12,380, 0.991
12,381, 0.991
12,382, 0.9875
12,384, 0.64
12,385, 0.781
12,386, 0.758
12,387, 0.6125
12,388, 0.961
12,389, 0.6215
12,390, 0.9825
12,392, 0.9785
12,394, 0.9715
12,395, 0.974
12,396, 0.6635
12,444, 0.891
12,445, 0.9365
12,1030, 0.6765
12,1369, 0.913
12,1370, 0.9495
12,1477, 0.616
12,1480, 0.618
12,1627, 0.7085
12,1644, 0.8655
12,1645, 0.9455
12,1801, 0.614
12,1802, 0.617
12,1803, 0.631
12,1817, 0.626
13,399, 0.924037461
13,400, 0.993756504
13,401, 0.986472425
13,402, 0.781477627
13,403, 0.993756504
13,404, 0.991675338
13,405, 0.968782518
13,406, 0.987513007
13,407, 0.976066597
13,409, 0.667013528
13,410, 0.887617066
13,411, 0.792924037
13,412, 0.899063476
13,413, 0.987513007
13,415, 0.985431842
13,417, 0.995837669
13,419, 0.964620187
13,420, 0.970863684
13,421, 0.753381894
13,754, 0.678459938
13,756, 0.616024974
13,1277, 0.678459938
13,1280, 0.649323621
13,1282, 0.667013528
13,1288, 0.611862643
14,97, 0.655
14,98, 0.715
14,99, 0.7025
14,100, 0.989
14,101, 0.9895
14,102, 0.9745
14,103, 0.989
14,104, 0.99
14,105, 0.99
14,106, 0.9895
14,107, 0.9895
14,110, 0.7135
14,111, 0.7105
14,113, 0.9795
14,115, 0.98
14,117, 0.9755
14,119, 0.968
14,120, 0.964
14,304, 0.6
14,305, 0.625
14,372, 0.776
14,373, 0.7495
14,374, 0.771
14,375, 0.989
14,376, 0.99
14,377, 0.9835
14,378, 0.9935
14,379, 0.9945
14,380, 0.991
14,381, 0.991
14,382, 0.9875
14,384, 0.64
14,385, 0.781
14,386, 0.758
14,387, 0.6125
14,388, 0.961
14,389, 0.6215
14,390, 0.9825
14,392, 0.9785
14,394, 0.9715
14,395, 0.974
14,396, 0.6635
14,444, 0.891
14,445, 0.9365
14,1030, 0.6765
14,1369, 0.913
14,1370, 0.9495
14,1477, 0.616
14,1480, 0.618
14,1627, 0.7085
14,1644, 0.8655
14,1645, 0.9455
14,1801, 0.614
14,1802, 0.617
14,1803, 0.631
14,1817, 0.626
16,494, 0.87797075
16,600, 0.83820841
16,602, 0.755941499
16,603, 0.692870201
16,605, 0.720292505
16,606, 0.728519196
16,607, 0.677787934
16,613, 0.755941499
16,617, 0.780621572
16,619, 0.600548446
16,620, 0.660877514
16,1375, 0.626599634
16,1379, 0.669104205
16,1382, 0.681444241
18,352, 0.649315068
18,527, 0.606849315
18,544, 0.6456621
18,545, 0.614611872
18,1749, 0.602739726
19,547, 0.83284111
19,548, 0.820437094
19,549, 0.868871825
19,550, 0.878322504
19,551, 0.892498523
19,552, 0.67749557
19,553, 0.875369167
19,554, 0.848789132
19,555, 0.80507974
19,556, 0.857058476
19,557, 0.835794448
19,558, 0.676904903
19,559, 0.626698169
19,560, 0.827525103
19,561, 0.841701122
19,562, 0.77968104
19,563, 0.9001772
19,564, 0.834022445
19,565, 0.906674542
19,566, 0.676904903
19,567, 0.893679858
19,568, 0.7749557
19,569, 0.873006497
19,570, 0.864737153
19,571, 0.744240992
19,1124, 0.818074424
19,1698, 0.789722386
19,1712, 0.633786178
19,1715, 0.619019492
20,573, 0.673366834
20,577, 0.944723618
20,582, 0.675879397
20,592, 0.605527638
20,594, 0.718592965
20,595, 0.701005025
20,950, 0.630653266
20,952, 0.618090452
20,956, 0.698492462
20,1572, 0.658291457
20,1573, 0.731155779
20,1574, 0.77638191
20,1575, 0.974874372
20,1576, 0.979899497
20,1577, 0.967336683
20,1578, 0.977386935
20,1579, 0.979899497
20,1580, 0.957286432
20,1581, 0.954773869
20,1582, 0.959798995
20,1584, 0.66080402
20,1585, 0.706030151
20,1586, 0.655778894
20,1588, 0.942211055
20,1590, 0.932160804
20,1592, 0.881909548
20,1593, 0.618090452
20,1594, 0.889447236
20,1595, 0.927135678
20,1596, 0.648241206
21,600, 0.803299492
21,601, 0.814720812
21,602, 0.906091371
21,603, 0.769035533
21,604, 0.761844332
21,605, 0.817681895
21,606, 0.79357022
21,607, 0.813451777
21,613, 0.80499154
21,615, 0.744923858
21,617, 0.755076142
21,619, 0.790186125
21,620, 0.766920474
22,360, 0.660203587
22,367, 0.657779932
22,529, 0.634028114
22,544, 0.720310228
22,545, 0.633543383
22,622, 0.956374212
22,623, 0.969461949
22,624, 0.956374212
22,625, 0.982549685
22,626, 0.981580223
22,627, 0.990305381
22,628, 0.976732913
22,629, 0.963160446
22,630, 0.97527872
22,631, 0.968007756
22,632, 0.96994668
22,634, 0.652447891
22,635, 0.939893359
22,636, 0.96994668
22,637, 0.828889966
22,638, 0.980610761
22,640, 0.992244304
22,642, 0.993213766
22,643, 0.762966554
22,644, 0.98012603
22,645, 0.977217644
22,646, 0.764905477
22,1751, 0.696073679
23,350, 0.605624143
23,530, 0.674897119
23,647, 0.784636488
23,648, 0.796982167
23,649, 0.783264746
23,650, 0.952674897
23,651, 0.952674897
23,652, 0.919067215
23,653, 0.947187929
23,654, 0.953360768
23,655, 0.963648834
23,656, 0.9478738
23,657, 0.956790123
23,659, 0.70781893
23,660, 0.775034294
23,661, 0.832647462
23,662, 0.730452675
23,663, 0.936213992
23,665, 0.953360768
23,667, 0.939643347
23,669, 0.919753086
23,670, 0.936899863
23,671, 0.696844993
23,1755, 0.670096022
24,675, 0.798099762
24,676, 0.771971496
24,678, 0.798891528
24,679, 0.719714964
24,680, 0.775138559
24,681, 0.724465558
24,682, 0.787015044
24,688, 0.843230404
24,690, 0.858273951
24,692, 0.827395091
24,694, 0.73871734
24,695, 0.669833729
25,702, 0.6124
25,719, 0.855666667
25,720, 0.868333333
26,323, 0.733527132
26,324, 0.721899225
26,327, 0.731589147
26,342, 0.61627907
26,344, 0.812984496
26,345, 0.792635659
26,346, 0.634689922
26,722, 0.861434109
26,723, 0.895348837
26,724, 0.937015504
26,725, 0.999031008
26,726, 0.99127907
26,727, 0.972868217
26,728, 0.987403101
26,729, 0.99127907
26,730, 0.993217054
26,731, 0.99127907
26,732, 0.99127907
26,734, 0.781976744
26,735, 0.86627907
26,736, 0.85755814
26,737, 0.783914729
26,738, 0.942829457
26,739, 0.845930233
26,740, 0.971899225
26,742, 0.977713178
26,743, 0.742248062
26,744, 0.953488372
26,745, 0.978682171
26,746, 0.766472868
26,1223, 0.644379845
26,1227, 0.736434109
26,1231, 0.656007752
26,1244, 0.81879845
26,1245, 0.795542636
26,1246, 0.648255814
27,185, 0.615217391
27,191, 0.656521739
27,747, 0.852173913
27,748, 0.832608696
27,749, 0.806521739
27,758, 0.656521739
27,759, 0.795652174
27,760, 0.932608696
27,761, 0.830434783
27,762, 0.797826087
27,763, 0.626086957
27,764, 0.880434783
27,765, 0.636956522
27,766, 0.87173913
27,767, 0.643478261
27,768, 0.784782609
27,769, 0.669565217
27,771, 0.782608696
28,144, 0.600860215
28,777, 0.85741018
28,795, 0.633982036
28,877, 0.86489521
28,894, 0.636198106
28,895, 0.631463948
29,802, 0.8125
29,820, 0.640625
29,827, 0.782327586
30,802, 0.672604909
30,827, 0.755344418
30,852, 0.63341251
31,827, 0.697104677
31,852, 0.783407572
34,180, 0.635709614
34,456, 0.613145847
34,750, 0.626553303
34,927, 0.867887508
34,1276, 0.613145847
36,977, 0.653169952
36,985, 0.721008702
37,1427, 0.719187675
38,97, 0.608333333
38,99, 0.665
38,250, 0.655
38,251, 0.713333333
38,301, 0.893333333
38,306, 0.85
38,309, 0.651666667
38,319, 0.951666667
38,372, 0.658333333
38,374, 0.623333333
38,424, 0.915
38,430, 0.698333333
38,432, 0.743333333
38,436, 0.608333333
38,437, 0.705
38,440, 0.883333333
38,1022, 0.988333333
38,1023, 1.0
38,1024, 1.0
38,1025, 1.0
38,1026, 1.0
38,1027, 1.0
38,1028, 1.0
38,1029, 1.0
38,1030, 1.0
38,1031, 1.0
38,1032, 1.0
38,1034, 0.996666667
38,1035, 1.0
38,1036, 1.0
38,1037, 0.99
38,1038, 1.0
38,1039, 0.998333333
38,1040, 1.0
38,1041, 0.953333333
38,1042, 1.0
38,1043, 0.933333333
38,1044, 1.0
38,1045, 1.0
38,1046, 0.995
38,1349, 0.746666667
38,1354, 0.665
38,1356, 0.67
38,1362, 0.691666667
38,1365, 0.605
38,1366, 0.788333333
38,1472, 0.806666667
38,1473, 0.62
38,1475, 0.666666667
38,1480, 0.993333333
38,1494, 0.951666667
38,1495, 0.855
38,1624, 0.825
38,1626, 0.666666667
38,1630, 0.655
38,1639, 0.913333333
38,1800, 0.635
38,1803, 0.64
38,1809, 0.748333333
38,1812, 0.726666667
39,1047, 0.746514575
39,1048, 0.759188847
39,1049, 0.771863118
39,1058, 0.653992395
39,1059, 0.683143219
39,1060, 0.775665399
39,1061, 0.750316857
39,1062, 0.674271229
39,1064, 0.803548796
39,1066, 0.769328264
39,1068, 0.812420786
39,1071, 0.72243346
42,548, 0.616600791
42,552, 0.616600791
42,553, 0.640316206
42,558, 0.612648221
42,560, 0.640316206
42,565, 0.735177866
42,567, 0.652173913
42,1128, 0.62055336
42,1141, 0.604743083
42,1701, 0.652173913
42,1702, 0.612648221
42,1703, 0.604743083
42,1711, 0.628458498
42,1712, 0.62055336
42,1714, 0.612648221
42,1719, 0.612648221
42,1720, 0.628458498
44,1172, 0.941939891
44,1173, 0.93954918
44,1174, 0.90317623
44,1175, 0.946379781
44,1176, 0.950990437
44,1177, 0.941086066
44,1178, 0.959528689
44,1179, 0.956284153
44,1180, 0.957821038
44,1181, 0.946550546
44,1182, 0.956113388
44,1183, 0.881659836
44,1184, 0.919569672
44,1185, 0.93852459
44,1186, 0.926912568
44,1187, 0.862704918
44,1188, 0.952356557
44,1189, 0.761953552
44,1190, 0.961407104
44,1191, 0.848360656
44,1192, 0.953893443
44,1193, 0.936646175
44,1194, 0.949965847
44,1195, 0.958674863
44,1196, 0.885075137
44,1522, 0.725580601
44,1523, 0.729678962
44,1524, 0.729508197
44,1526, 0.619706284
44,1533, 0.729678962
44,1534, 0.729678962
44,1535, 0.729678962
44,1536, 0.729678962
44,1537, 0.729678962
44,1539, 0.728995902
44,1540, 0.688695355
44,1541, 0.729678962
44,1543, 0.729678962
44,1546, 0.729678962
44,1597, 0.729678962
44,1598, 0.638490437
44,1599, 0.726775956
44,1602, 0.903346995
44,1603, 0.663934426
44,1605, 0.722506831
44,1606, 0.744193989
44,1608, 0.729678962
44,1609, 0.723872951
44,1610, 0.733948087
44,1612, 0.729678962
44,1616, 0.729678962
44,1618, 0.729678962
44,1621, 0.71875
46,323, 0.679043744
46,324, 0.690233978
46,327, 0.920651068
46,344, 0.845879959
46,345, 0.856561546
46,722, 0.623092574
46,723, 0.681586979
46,724, 0.695320448
46,725, 0.746185148
46,726, 0.684638861
46,727, 0.757884028
46,728, 0.707527976
46,729, 0.789928789
46,730, 0.81180061
46,731, 0.739572737
46,732, 0.871312309
46,734, 0.630722279
46,736, 0.606307223
46,738, 0.723296033
46,739, 0.671922686
46,740, 0.833672431
46,742, 0.756358087
46,743, 0.630722279
46,744, 0.681078332
46,745, 0.745676501
46,746, 0.626653103
46,1223, 0.631230926
46,1227, 0.950661241
46,1231, 0.733468973
46,1232, 0.686673449
46,1244, 0.837741607
46,1245, 0.856052899
48,403, 0.729722373
48,1272, 0.918209036
48,1273, 0.919161677
48,1274, 0.948829614
48,1275, 0.992787153
48,1276, 0.993603702
48,1277, 0.980811105
48,1278, 0.990473598
48,1279, 0.993875885
48,1280, 0.991834513
48,1281, 0.99346761
48,1282, 0.991426238
48,1284, 0.843086554
48,1285, 0.892623843
48,1286, 0.873979314
48,1287, 0.84363092
48,1288, 0.993739793
48,1289, 0.753538378
48,1290, 0.988432226
48,1291, 0.678279804
48,1292, 0.994964616
48,1293, 0.758165487
48,1294, 0.994692433
48,1295, 0.991698421
48,1296, 0.843767011
49,72, 0.628205128
49,75, 0.884615385
49,76, 0.865384615
49,77, 0.846153846
49,78, 0.871794872
49,79, 0.891025641
49,80, 0.935897436
49,81, 0.91025641
49,82, 0.916666667
49,86, 0.615384615
49,88, 0.807692308
49,90, 0.865384615
49,92, 0.807692308
49,94, 0.756410256
49,95, 0.814102564
49,705, 0.621794872
49,1300, 0.851851852
49,1301, 0.866666667
49,1302, 0.838888889
49,1303, 0.877777778
49,1304, 0.92037037
49,1305, 0.87037037
49,1306, 0.874074074
49,1307, 0.862962963
49,1310, 0.633333333
49,1311, 0.603703704
49,1313, 0.868518519
49,1315, 0.833333333
49,1317, 0.85
49,1319, 0.803703704
49,1320, 0.716666667
50,1327, 0.62
51,97, 0.6616
51,98, 0.7084
51,99, 0.7076
51,100, 0.9886
51,101, 0.991
51,102, 0.9704
51,103, 0.991
51,104, 0.9928
51,105, 0.9894
51,106, 0.9874
51,107, 0.989
51,110, 0.7356
51,111, 0.701
51,113, 0.9784
51,115, 0.976
51,117, 0.9722
51,119, 0.9648
51,120, 0.9632
51,305, 0.6262
51,372, 0.7866
51,373, 0.7458
51,374, 0.779
51,375, 0.9938
51,376, 0.9938
51,377, 0.9846
51,378, 0.9954
51,379, 0.9954
51,380, 0.992
51,381, 0.992
51,382, 0.991
51,384, 0.6452
51,385, 0.8002
51,386, 0.7586
51,387, 0.619
51,388, 0.9676
51,389, 0.6322
51,390, 0.985
51,391, 0.6042
51,392, 0.976
51,394, 0.973
51,395, 0.9758
51,396, 0.675
51,444, 0.8928
51,445, 0.9362
51,1030, 0.6672
51,1369, 0.9126
51,1370, 0.9462
51,1477, 0.644
51,1480, 0.6198
51,1627, 0.7228
51,1644, 0.8688
51,1645, 0.943
51,1801, 0.6182
51,1802, 0.6204
51,1803, 0.6272
51,1817, 0.6458
52,600, 0.655036468
52,602, 0.682042184
52,619, 0.652276759
52,1372, 0.964518037
52,1373, 0.832840528
52,1374, 0.981076286
52,1375, 0.99901439
52,1376, 0.998817268
52,1377, 0.995466194
52,1378, 0.999802878
52,1379, 0.996451804
52,1380, 0.999605756
52,1381, 0.99901439
52,1382, 0.995663316
52,1384, 0.9570274
52,1385, 0.99605756
52,1386, 0.999605756
52,1387, 0.965306525
52,1388, 0.998817268
52,1390, 0.99901439
52,1392, 0.998620146
52,1393, 0.655430712
52,1394, 0.999211512
52,1395, 0.999211512
52,1396, 0.944805835
53,1419, 0.721706226
53,1420, 0.686618507
53,1549, 0.60206924
53,1560, 0.611619578
53,1569, 0.861122165
53,1570, 0.783923597
54,1427, 0.67432598
55,1247, 0.756333333
55,1248, 0.787666667
55,1249, 0.784333333
55,1250, 0.918666667
55,1251, 0.925666667
55,1252, 0.895333333
55,1253, 0.922666667
55,1254, 0.923
55,1255, 0.921333333
55,1256, 0.914333333
55,1257, 0.918666667
55,1260, 0.788
55,1261, 0.779
55,1263, 0.916666667
55,1265, 0.915333333
55,1267, 0.899666667
55,1268, 0.662
55,1269, 0.883
55,1270, 0.884666667
55,1271, 0.625
55,1447, 0.741666667
55,1448, 0.797333333
55,1449, 0.779333333
55,1450, 0.921666667
55,1451, 0.929333333
55,1452, 0.907333333
55,1453, 0.922333333
55,1454, 0.926666667
55,1455, 0.923333333
55,1456, 0.914666667
55,1457, 0.919
55,1460, 0.796
55,1461, 0.779
55,1463, 0.911
55,1465, 0.919
55,1467, 0.912
55,1468, 0.658
55,1469, 0.872
55,1470, 0.887
55,1471, 0.611333333
56,115, 0.761
56,119, 0.6055
56,120, 0.731
56,251, 0.6895
56,253, 0.7045
56,254, 0.715
56,299, 0.6185
56,306, 0.6065
56,315, 0.6525
56,377, 0.6535
56,390, 0.6065
56,392, 0.6825
56,394, 0.8255
56,395, 0.78
56,428, 0.6105
56,429, 0.8245
56,444, 0.6305
56,1034, 0.617
56,1044, 0.671
56,1045, 0.715
56,1357, 0.6605
56,1369, 0.625
56,1474, 0.7245
56,1476, 0.6875
56,1477, 0.7805
56,1480, 0.6395
56,1481, 0.8755
56,1494, 0.8435
56,1495, 0.83
56,1632, 0.8115
56,1644, 0.6075
56,1800, 0.78
56,1801, 0.788
56,1803, 0.8645
56,1804, 0.6245
56,1805, 0.686
56,1806, 0.621
56,1807, 0.612
56,1813, 0.621
56,1815, 0.6845
56,1817, 0.6385
56,1819, 0.7195
57,1500, 0.995279308
57,1501, 0.99606609
57,1502, 0.907946499
57,1503, 0.998426436
57,1504, 0.996852872
57,1505, 0.996852872
57,1506, 0.989771833
57,1507, 0.988985051
57,1513, 0.966955153
57,1515, 0.9693155
57,1517, 0.966168371
57,1519, 0.87804878
57,1520, 0.916601101
58,1172, 0.907142857
58,1173, 0.792857143
58,1174, 0.839285714
58,1175, 0.942857143
58,1176, 0.907142857
58,1177, 0.960714286
58,1178, 0.9
58,1179, 0.946428571
58,1180, 0.942857143
58,1181, 0.878571429
58,1182, 0.939285714
58,1183, 0.778571429
58,1184, 0.85
58,1185, 0.932142857
58,1186, 0.892857143
58,1187, 0.717857143
58,1188, 0.871428571
58,1190, 0.95
58,1192, 0.932142857
58,1193, 0.732142857
58,1194, 0.914285714
58,1195, 0.942857143
58,1196, 0.792857143
58,1527, 1.0
58,1528, 0.625
58,1544, 0.6
58,1602, 0.910714286
58,1606, 0.632142857
58,1619, 0.778571429
59,1549, 0.60206924
59,1560, 0.611619578
59,1569, 0.861122165
59,1570, 0.783923597
60,573, 0.673366834
60,577, 0.944723618
60,582, 0.675879397
60,592, 0.605527638
60,594, 0.718592965
60,595, 0.701005025
60,950, 0.630653266
60,952, 0.618090452
60,956, 0.698492462
60,1572, 0.658291457
60,1573, 0.731155779
60,1574, 0.77638191
60,1575, 0.974874372
60,1576, 0.979899497
60,1577, 0.967336683
60,1578, 0.977386935
60,1579, 0.979899497
60,1580, 0.957286432
60,1581, 0.954773869
60,1582, 0.959798995
60,1584, 0.66080402
60,1585, 0.706030151
60,1586, 0.655778894
60,1588, 0.942211055
60,1590, 0.932160804
60,1592, 0.881909548
60,1593, 0.618090452
60,1594, 0.889447236
60,1595, 0.927135678
60,1596, 0.648241206
63,1647, 0.907483795
63,1648, 0.929876252
63,1649, 0.931054803
63,1658, 0.8976
63,1659, 0.885091338
63,1660, 0.935179729
63,1661, 0.893930466
63,1662, 0.913965822
63,1664, 0.934001179
63,1666, 0.929876252
63,1668, 0.919269299
63,1669, 0.629345905
63,1671, 0.916322923
64,1557, 0.6332
64,1694, 0.899866667
64,1695, 0.807666667
65,549, 0.619514472
65,557, 0.704014939
65,564, 0.639589169
65,1122, 0.64659197
65,1123, 0.637721755
65,1124, 0.640289449
65,1126, 0.622082166
65,1127, 0.640289449
65,1129, 0.632586368
65,1131, 0.607843137
65,1133, 0.640289449
65,1134, 0.640289449
65,1135, 0.639822596
65,1136, 0.640289449
65,1137, 0.637955182
65,1138, 0.633986928
65,1139, 0.640289449
65,1140, 0.639122316
65,1143, 0.64379085
65,1697, 0.640756303
65,1698, 0.639589169
65,1699, 0.651260504
65,1702, 0.797152194
65,1706, 0.609710551
65,1708, 0.640289449
65,1710, 0.655695612
65,1711, 0.656629318
65,1712, 0.609943978
65,1713, 0.653828198
65,1714, 0.628384687
65,1716, 0.640289449
65,1717, 0.613912232
65,1718, 0.640056022
65,1719, 0.81092437
65,1720, 0.764239029
68,1777, 0.809355693
69,1355, 0.61381323
69,1632, 0.635214008
69,1797, 0.611867704
69,1798, 0.651750973
69,1799, 0.642023346
69,1800, 0.814202335
69,1801, 0.785019455
69,1802, 0.782101167
69,1803, 0.835603113
69,1804, 0.804474708
69,1805, 0.810311284
69,1806, 0.792801556
69,1807, 0.829766537
69,1810, 0.664396887
69,1812, 0.622568093
69,1813, 0.836575875
69,1815, 0.803501946
69,1817, 0.792801556
69,1819, 0.794747082
69,1820, 0.777237354
69,1821, 0.630350195
70,1827, 0.777777778
