model,groundtruth_balanced_accuracy,dataset,balanced_accuracy
97,0.672733762,1,0.6016619333333333
98,0.748037116,1,0.5838855576666666
99,0.755531763,1,0.628905017
100,0.995360457,1,0.515935626
101,0.994289793,1,0.5571684020000001
102,0.98965025,1,0.5772588616666666
103,0.996074233,1,0.5834648153333334
104,0.998572448,1,0.598716735
105,0.996788009,1,0.5301356893333334
106,0.995003569,1,0.5346586723333333
107,0.995003569,1,0.5758147496666667
108,0.564239829,1,0.613863469
109,0.584939329,1,0.5485380643333334
110,0.756245539,1,0.5471449186666667
111,0.727337616,1,0.5255075206666667
112,0.593147752,1,0.58988114
113,0.992862241,1,0.5970337646666667
114,0.559957173,1,0.6237159576666667
115,0.987508922,1,0.586515199
116,0.575660243,1,0.6073419583333333
117,0.982869379,1,0.5705269796666667
118,0.578158458,1,0.5942989373333333
119,0.975374732,1,0.5768381193333333
120,0.980728051,1,0.5843063003333334
121,0.584582441,1,0.5594824863333333
247,0.499286224,1,0.5986875003333333
248,0.5,1,0.5731470666666666
249,0.499643112,1,0.5999789626666666
250,0.41184868,1,0.562514377
251,0.514989293,1,0.5675912773333333
252,0.44468237,1,0.595350794
253,0.447537473,1,0.5915641106666666
254,0.553890079,1,0.5627023573333333
255,0.546395432,1,0.5446836946666667
256,0.526766595,1,0.5346586723333333
257,0.44111349,1,0.5758147496666667
258,0.5,1,0.6106027136666666
259,0.5,1,0.5637950979999999
260,0.5,1,0.7014831176666666
261,0.5,1,0.551268451
262,0.500713776,1,0.57052698
263,0.5,1,0.608709372
264,0.5,1,0.6066056586666667
265,0.499643112,1,0.55117282
266,0.504282655,1,0.5921952243333334
267,0.500713776,1,0.5624276846666667
268,0.493219129,1,0.5625328703333333
269,0.151677373,1,0.5853581569999999
270,0.066738044,1,0.5970337646666667
271,0.5,1,0.5130956136666667
297,0.506067095,1,0.5972441356666666
298,0.502855103,1,0.5889344693333334
299,0.502141328,1,0.602293047
300,0.504639543,1,0.515935626
301,0.517844397,1,0.511885407
302,0.520342612,1,0.6489954769999999
303,0.461099215,1,0.5915641106666666
304,0.575303355,1,0.5627023573333333
305,0.620985011,1,0.5029977906666666
306,0.387937188,1,0.5346586723333333
307,0.428265525,1,0.5758147496666667
308,0.5,1,0.597600838
309,0.454675232,1,0.612601241
310,0.480014276,1,0.6317113113333334
311,0.501427552,1,0.6007152623333334
312,0.509279086,1,0.5490024463333333
313,0.5,1,0.564741769
314,0.57958601,1,0.5986875003333333
315,0.413276231,1,0.55117282
316,0.5,1,0.5256127063333332
317,0.5,1,0.6119701270000001
318,0.529978587,1,0.575996634
319,0.453961456,1,0.6466813923333333
320,0.429693076,1,0.6779215313333333
321,0.510706638,1,0.6446479026666667
372,0.799428979,1,0.5962974646666667
373,0.762312634,1,0.537814242
374,0.807280514,1,0.5892500263333333
375,0.996074233,1,0.515935626
376,0.996788009,1,0.5571684020000001
377,0.990720914,1,0.5790470176666668
378,0.99821556,1,0.5834648153333334
379,0.998929336,1,0.6089197433333333
380,0.996431121,1,0.5301356893333334
381,0.994646681,1,0.5346586723333333
382,0.997144897,1,0.5758147496666667
383,0.536759458,1,0.613863469
384,0.658815132,1,0.5267697483333333
385,0.813704497,1,0.6066056586666667
386,0.76302641,1,0.5697906806666667
387,0.625624554,1,0.5698958660000001
388,0.974304069,1,0.5515935623333333
389,0.630264097,1,0.5660039966666667
390,0.992148465,1,0.5958767223333333
391,0.606709493,1,0.6033449036666666
392,0.991791577,1,0.550752077
393,0.606352605,1,0.594824866
394,0.990007138,1,0.5728410643333333
395,0.989293362,1,0.5843063003333334
396,0.706995004,1,0.5251919636666667
422,0.5,1,0.608709372
423,0.518915061,1,0.5853581569999999
424,0.563169165,1,0.5999789626666666
425,0.284796574,1,0.5176185966666668
426,0.459314775,1,0.5772588616666666
427,0.518558173,1,0.575049963
428,0.507137759,1,0.5915641106666666
429,0.574232691,1,0.5779951613333333
430,0.513204854,1,0.5697906806666667
431,0.476445396,1,0.540233512
432,0.349036403,1,0.6080782583333333
433,0.5,1,0.6087505173333333
434,0.526052819,1,0.62245373
435,0.517130621,1,0.6035203123333334
436,0.528194147,1,0.5737877353333334
437,0.502141328,1,0.5552750603333333
438,0.525695931,1,0.556537288
439,0.5,1,0.55117282
440,0.267309065,1,0.5975596926666666
441,0.5,1,0.612285684
442,0.5,1,0.6119701270000001
443,0.528551035,1,0.6014515623333333
444,0.895788722,1,0.6056589880000001
445,0.937901499,1,0.5994530346666668
446,0.520342612,1,0.5224571366666667
1022,0.481798715,1,0.6068874973333334
1023,0.48786581,1,0.572630693
1024,0.452177016,1,0.6400546963333333
1025,0.394361171,1,0.535079415
1026,0.414346895,1,0.5571684020000001
1027,0.431120628,1,0.585033617
1028,0.307637402,1,0.5908278113333334
1029,0.374018558,1,0.647102135
1030,0.653818701,1,0.5697906806666667
1031,0.501070664,1,0.5346586723333333
1032,0.459671663,1,0.600820448
1033,0.5,1,0.6027137896666667
1034,0.444325482,1,0.5793625746666667
1035,0.483940043,1,0.6062608673333333
1036,0.513204854,1,0.6240315146666666
1037,0.427551749,1,0.4756495213333333
1038,0.461099215,1,0.5379194276666667
1039,0.41862955,1,0.5827285156666666
1040,0.488579586,1,0.57557976
1041,0.467880086,1,0.5945093090000001
1042,0.496431121,1,0.6032104833333333
1043,0.438972163,1,0.4804880613333333
1044,0.484296931,1,0.5728410643333333
1045,0.46538187,1,0.5843063003333334
1046,0.44111349,1,0.5594824863333333
1347,0.500356888,1,0.608709372
1348,0.500713776,1,0.5994530343333333
1349,0.578515346,1,0.5999789626666666
1350,0.488222698,1,0.535079415
1351,0.417915774,1,0.507836331
1352,0.503568879,1,0.34606317766666667
1353,0.429693076,1,0.5915641106666666
1354,0.56923626,1,0.5976648786666666
1355,0.45503212,1,0.5703322443333333
1356,0.502498216,1,0.5545387606666666
1357,0.526766595,1,0.5758147496666667
1358,0.5,1,0.613863469
1359,0.500713776,1,0.6164931103333333
1360,0.529978587,1,0.5669587876666667
1361,0.500713776,1,0.5779951613333334
1362,0.517130621,1,0.543599453
1363,0.462883655,1,0.5622329490000001
1364,0.496431121,1,0.5706321656666667
1365,0.248037116,1,0.5975596926666666
1366,0.498572448,1,0.6033449036666666
1367,0.513204854,1,0.6119701270000001
1368,0.505353319,1,0.564846955
1369,0.913276231,1,0.6134077636666667
1370,0.947180585,1,0.6137582833333334
1371,0.551034975,1,0.5764173763333332
1472,0.518201285,1,0.5749447773333333
1473,0.481441827,1,0.7288313876666667
1474,0.519628837,1,0.611128642
1475,0.490720914,1,0.45324497733333335
1476,0.493576017,1,0.511885407
1477,0.631334761,1,0.6258546333333334
1478,0.575303355,1,0.5883033553333333
1479,0.476802284,1,0.60681603
1480,0.618843683,1,0.5247253103333334
1481,0.589578872,1,0.5290838326666666
1482,0.516773733,1,0.549595035
1483,0.5,1,0.613863469
1484,0.5,1,0.620490165
1485,0.505710207,1,0.5776796043333333
1486,0.47751606,1,0.5624276846666667
1487,0.503211991,1,0.5312927316666667
1488,0.495003569,1,0.574734406
1489,0.5,1,0.5946801423333333
1490,0.5,1,0.55117282
1491,0.5,1,0.5946801423333333
1492,0.5,1,0.5021609803333333
1493,0.480728051,1,0.5964026506666668
1494,0.592790864,1,0.55117282
1495,0.514989293,1,0.6314601583333334
1496,0.5,1,0.5510676343333333
1622,0.508208423,1,0.608709372
1623,0.507851535,1,0.5838855576666666
1624,0.568522484,1,0.5999789626666666
1625,0.481084939,1,0.5176185966666668
1626,0.538900785,1,0.5772588616666666
1627,0.736259814,1,0.5853581569999999
1628,0.311206281,1,0.5915641106666666
1629,0.537830121,1,0.5779951613333333
1630,0.521770164,1,0.5446836946666667
1631,0.505710207,1,0.5388660986666666
1632,0.568879372,1,0.5758147496666667
1633,0.5,1,0.6087505173333333
1634,0.530692363,1,0.6130219836666666
1635,0.562098501,1,0.5825883673333334
1636,0.51391863,1,0.6142842113333332
1637,0.5,1,0.5552750603333333
1638,0.535331906,1,0.556537288
1639,0.480371163,1,0.5503313346666667
1640,0.398286938,1,0.5975596926666666
1641,0.5,1,0.6098371796666666
1642,0.501427552,1,0.6119701270000001
1643,0.5,1,0.5973493216666667
1644,0.86509636,1,0.6039760176666666
1645,0.947894361,1,0.5970337646666667
1646,0.539614561,1,0.5646365833333333
1797,0.433261956,1,0.6054486166666667
1798,0.496074233,1,0.539917955
1799,0.457530335,1,0.6447880506666667
1800,0.463954318,1,0.535079415
1801,0.61598858,1,0.5429683390000001
1802,0.626695218,1,0.5928263383333334
1803,0.628479657,1,0.5933522666666666
1804,0.560670949,1,0.598716735
1805,0.512491078,1,0.5247253103333334
1806,0.369735903,1,0.5545387606666666
1807,0.457530335,1,0.5609550856666666
1808,0.523911492,1,0.613863469
1809,0.473947181,1,0.565898811
1810,0.496431121,1,0.5606395286666667
1811,0.496788009,1,0.49111181233333334
1812,0.521770164,1,0.596823393
1813,0.496788009,1,0.564741769
1814,0.492862241,1,0.458574877
1815,0.548536759,1,0.6106027136666666
1816,0.526052819,1,0.5921952243333334
1817,0.634189864,1,0.5146733983333334
1818,0.5,1,0.5568338389999999
1819,0.521770164,1,0.5994530343333334
1820,0.533904354,1,0.5843063003333334
1821,0.526766595,1,0.5510676343333333
322,0.557985758,10,0.4721352536666667
323,0.679043744,10,0.5251513253333333
324,0.689725331,10,0.49968691266666676
325,0.498982706,10,0.534960281
326,0.523397762,10,0.5288314286666665
327,0.920651068,10,0.6062515443333333
328,0.322990844,10,0.500521812
329,0.309257375,10,0.46796075966666667
330,0.476093591,10,0.5140657123333333
331,0.553407935,10,0.48027551666666674
332,0.486266531,10,0.5534900736666667
333,0.486775178,10,0.442693528
334,0.500508647,10,0.4353804446666667
335,0.517802645,10,0.548319766
336,0.54069176,10,0.4900859553333334
337,0.501017294,10,0.5284909203333333
338,0.500508647,10,0.4605041513333333
339,0.5,10,0.6621897616666667
340,0.508138352,10,0.38035335333333326
341,0.5,10,0.7269045510000001
342,0.534587996,10,0.6351924776666668
343,0.503051882,10,0.48549363366666665
344,0.845879959,10,0.5255357303333333
345,0.856561546,10,0.6008127813333334
346,0.566632757,10,0.5324491583333334
722,0.623092574,10,0.631308642
723,0.682095626,10,0.561886871
724,0.695320448,10,0.45773482000000004
725,0.746185148,10,0.49655604266666664
726,0.684638861,10,0.5288253803333333
727,0.757884028,10,0.5265223713333333
728,0.707527976,10,0.500521812
729,0.789928789,10,0.5061602283333334
730,0.81180061,10,0.482339181
731,0.739572737,10,0.5751932886666667
732,0.871312309,10,0.5130452933333333
733,0.538148525,10,0.442693528
734,0.630722279,10,0.36226553999999994
735,0.589013225,10,0.513145846
736,0.606307223,10,0.4212967886666667
737,0.589013225,10,0.5146771723333333
738,0.723296033,10,0.6201210603333333
739,0.671922686,10,0.387536186
740,0.833672431,10,0.4888332290000001
741,0.519837233,10,0.5122103943333333
742,0.756358087,10,0.39339473300000005
743,0.630722279,10,0.510540597
744,0.681078332,10,0.4862135406666666
745,0.745676501,10,0.4828976606666666
746,0.626653103,10,0.5021916093333333
1222,0.490844354,10,0.5342417246666668
1223,0.631230926,10,0.5299519933333333
1224,0.567141404,10,0.49717715700000004
1225,0.510681587,10,0.534960281
1226,0.506612411,10,0.5288314286666665
1227,0.950661241,10,0.5270178673333333
1228,0.424720244,10,0.532874139
1229,0.550356053,10,0.5061602283333334
1230,0.568667345,10,0.5140657123333333
1231,0.733468973,10,0.5123197003333333
1232,0.686673449,10,0.514606919
1233,0.5,10,0.442693528
1234,0.498982706,10,0.49655604266666664
1235,0.477110885,10,0.4652473383333333
1236,0.496439471,10,0.5503888679999999
1237,0.508646999,10,0.54226675
1238,0.5,10,0.28109036866666665
1239,0.5,10,0.5353255056666666
1240,0.5,10,0.34257631566666663
1241,0.5,10,0.5595908996666666
1242,0.501525941,10,0.6103109996666667
1243,0.5,10,0.5362086746666667
1244,0.837741607,10,0.550033378
1245,0.856052899,10,0.6008127813333334
1246,0.587995931,10,0.5060673516666667
172,0.408794788,15,0.3324958123333333
173,0.457654723,15,0.553518083
174,0.382736156,15,0.5391670193333333
175,0.5,15,0.5529138159999999
176,0.5,15,0.490864174
177,0.5,15,0.6874399653333333
178,0.5,15,0.5332244279999999
179,0.5,15,0.688492435
180,0.5,15,0.6136784353333333
181,0.503257329,15,0.507290796
182,0.5,15,0.4523203516666667
183,0.368078176,15,0.45583730633333336
184,0.350162866,15,0.872882933
185,0.530944625,15,0.41138008966666667
186,0.501628664,15,0.5291868823333333
187,0.364820847,15,0.7289223896666667
188,0.741042345,15,0.6077360580000001
189,0.519543974,15,0.27921060700000006
190,0.664495114,15,0.44636484233333334
191,0.294788274,15,0.3238414293333333
192,0.747557003,15,0.46917585966666664
193,0.40228013,15,0.46813300366666666
194,0.374592834,15,0.514096726
195,0.30781759,15,0.5409727703333334
196,0.496742671,15,0.47329238766666676
397,0.5,15,0.8466827956666666
398,0.687296417,15,0.8122189949999999
399,0.5,15,0.5965142476666666
400,0.5,15,0.40642575866666664
401,0.5,15,0.490864174
402,0.5,15,0.5189003436666667
403,0.5,15,0.37227002166666673
404,0.5,15,0.44636484233333334
405,0.5,15,0.6136784353333333
406,0.5,15,0.6066443330000001
407,0.5,15,0.692834963
408,0.408794788,15,0.3859711653333333
409,0.5,15,0.475502778
410,0.5,15,0.5210365003333334
411,0.5,15,0.3653119523333334
412,0.638436482,15,0.45102996766666664
413,0.591205212,15,0.5752603316666667
414,0.557003257,15,0.688492435
415,0.5,15,0.5062820953333333
416,0.470684039,15,0.2958551596666667
417,0.5,15,0.600481485
418,0.618892508,15,0.3620188336666667
419,0.5,15,0.67404925
420,0.48534202,15,0.4107681953333333
421,0.473941368,15,0.466778336
447,0.931596091,15,0.5245610836666666
448,0.95276873,15,0.5626421636666666
449,0.964169381,15,0.5108059156666666
450,0.5,15,0.4842487770000001
451,0.5,15,0.490864174
452,0.5,15,0.4381165083333333
453,0.5,15,0.6166766153333333
454,0.5,15,0.5382558056666668
455,0.688925081,15,0.6136784353333333
456,0.5,15,0.6740964143333334
457,0.5,15,0.5394053586666666
458,0.938110749,15,0.4729623416666667
459,0.956026059,15,0.45216824866666666
460,0.949511401,15,0.33308120833333327
461,0.947882736,15,0.43365621233333335
462,0.942996743,15,0.6273434236666667
463,0.7752443,15,0.5352469559999999
464,0.929967427,15,0.4466558523333333
465,0.776872964,15,0.5557416713333333
466,0.970684039,15,0.294521352
467,0.794788274,15,0.7115205656666667
468,0.938110749,15,0.3978581753333333
469,0.928338762,15,0.8554299076666667
470,0.908794788,15,0.8749366886666667
471,0.95276873,15,0.4594843560000001
747,0.519543974,15,0.6908128923333333
748,0.498371336,15,0.6136784353333333
749,0.513029316,15,0.59693242
750,0.5,15,0.4842487770000001
751,0.5,15,0.490864174
752,0.5,15,0.3524658676666667
753,0.5,15,0.6387313336666667
754,0.5,15,0.688492435
755,0.535830619,15,0.6858913516666666
756,0.465798046,15,0.544391637
757,0.5,15,0.4523203516666667
758,0.589576547,15,0.2940307813333333
759,0.543973941,15,0.5860452483333334
760,0.553745928,15,0.9860413176666666
761,0.589576547,15,0.336288187
762,0.615635179,15,0.377454718
763,0.664495114,15,0.46677833599999996
764,0.529315961,15,0.47284613
765,0.625407166,15,0.49627110366666666
766,0.558631922,15,0.6906756003333333
767,0.600977199,15,0.8459892053333333
768,0.615635179,15,0.44160251
769,0.465798046,15,0.45463945499999997
770,0.504885993,15,0.485598586
771,0.53257329,15,0.30244318400000003
922,0.728013029,15,0.49323594066666665
923,0.63029316,15,0.526910426
924,0.672638436,15,0.7000509513333334
925,0.5,15,0.5529138159999999
926,0.5,15,0.490864174
927,0.498371336,15,0.6591711633333334
928,0.486970684,15,0.3759386386666666
929,0.5,15,0.30029607499999994
930,0.486970684,15,0.6136784353333333
931,0.40228013,15,0.6740964143333334
932,0.5,15,0.3017893546666666
933,0.503257329,15,0.339989837
934,0.509771987,15,0.6688106016666667
935,0.700325733,15,0.33178201766666665
936,0.762214984,15,0.36915757266666666
937,0.527687296,15,0.38563186299999996
938,0.231270358,15,0.2927161343333334
939,0.524429967,15,0.8284943233333334
940,0.288273616,15,0.30843362133333335
941,0.667752443,15,0.32514423966666667
942,0.276872964,15,0.6247906196666667
943,0.693811075,15,0.671283442
944,0.622149837,15,0.43278755099999994
945,0.672638436,15,0.4231914143333333
946,0.522801303,15,0.3859627380000001
1272,0.53257329,15,0.6336376006666667
1273,0.509771987,15,0.339896779
1274,0.314332248,15,0.3383549323333333
1275,0.5,15,0.40642575866666664
1276,0.5,15,0.490864174
1277,0.5,15,0.3461650273333334
1278,0.5,15,0.5576958870000001
1279,0.5,15,0.44636484233333334
1280,0.5,15,0.6136784353333333
1281,0.5,15,0.629900636
1282,0.5,15,0.5394053586666666
1283,0.5,15,0.3859711653333333
1284,0.578175896,15,0.6076905273333334
1285,0.407166124,15,0.7778773176666668
1286,0.498371336,15,0.6870881990000001
1287,0.5,15,0.559091755
1288,0.5,15,0.4845523916666667
1289,0.5,15,0.578302568
1290,0.5,15,0.5962517196666667
1291,0.469055375,15,0.6042837113333334
1292,0.486970684,15,0.7115205656666667
1293,0.5,15,0.6419526913333334
1294,0.5,15,0.6762102720000001
1295,0.5,15,0.5164879433333333
1296,0.5,15,0.4662199886666667
472,0.333333333,17,0.8251666666666667
473,0.333333333,17,0.8418333333333333
474,0.333333333,17,0.5173333333333333
475,0.333333333,17,0.8305000000000001
476,0.364453665,17,0.8340000000000001
477,0.333333333,17,0.6983333333333334
478,0.350276625,17,0.5176666666666667
479,0.415629322,17,0.5539999999999999
480,0.335408022,17,0.8693333333333334
481,0.286652835,17,0.5396666666666666
482,0.335408022,17,0.6771666666666668
483,0.336099585,17,0.5358333333333334
484,0.381396957,17,0.5696666666666667
485,0.333333333,17,0.5103333333333334
486,0.328838174,17,0.5439999999999999
487,0.346818811,17,0.5516666666666666
488,0.333333333,17,0.6708333333333334
489,0.333333333,17,0.47150000000000003
490,0.38208852,17,0.5031666666666667
491,0.333333333,17,0.6098333333333333
492,0.333333333,17,0.5085000000000001
493,0.333333333,17,0.5539999999999999
494,0.553250346,17,0.8490000000000001
495,0.336099585,17,0.6641666666666667
496,0.333333333,17,0.5345
497,0.333333333,17,0.6151666666666666
498,0.333333333,17,0.5281666666666667
499,0.333333333,17,0.6098333333333333
500,0.333333333,17,0.8305000000000001
501,0.333333333,17,0.5018333333333334
502,0.334370678,17,0.8525
503,0.333333333,17,0.5941666666666666
504,0.333333333,17,0.5208333333333334
505,0.333333333,17,0.8693333333333334
506,0.333333333,17,0.6625
507,0.333333333,17,0.5208333333333334
508,0.333333333,17,0.5358333333333334
509,0.333333333,17,0.6323333333333333
510,0.333333333,17,0.6168333333333335
511,0.333333333,17,0.5548090523333334
512,0.333333333,17,0.673
513,0.333333333,17,0.9546666666666667
514,0.333333333,17,0.5623333333333334
515,0.333333333,17,0.8344999999999999
516,0.333333333,17,0.5863333333333334
517,0.333333333,17,0.8249999999999998
518,0.333333333,17,0.5875
519,0.333333333,17,0.682
520,0.333333333,17,0.8336666666666668
521,0.333333333,17,0.5791666666666666
597,0.333333333,17,0.5391666666666667
598,0.352697095,17,0.5831666666666667
599,0.371715076,17,0.5001666666666668
600,0.677385892,17,0.8305000000000001
601,0.502074689,17,0.8668333333333335
602,0.699515906,17,0.47983333333333333
603,0.39626556,17,0.8525
604,0.382434302,17,0.5439999999999999
605,0.333333333,17,0.5776666666666667
606,0.333333333,17,0.5396666666666666
607,0.352005533,17,0.6953333333333332
608,0.30428769,17,0.5358333333333334
609,0.31120332,17,0.516
610,0.384163209,17,0.6656666666666666
611,0.338520055,17,0.5018333333333334
612,0.298063624,17,0.5468333333333334
613,0.491701245,17,0.5056666666666666
614,0.321922545,17,0.5533333333333333
615,0.421161826,17,0.9891666666666667
616,0.389004149,17,0.5065000000000001
617,0.335062241,17,0.5031666666666667
618,0.326071923,17,0.5228333333333334
619,0.64626556,17,0.8258333333333333
620,0.522475795,17,0.8155000000000001
621,0.25242047,17,0.5369999999999999
1372,0.93153527,17,0.7098333333333334
1373,0.782157676,17,0.9153333333333333
1374,0.934301521,17,0.731
1375,0.970954357,17,0.8305000000000001
1376,0.978907331,17,0.5018333333333334
1377,0.995504841,17,0.596
1378,0.977178423,17,0.5303333333333334
1379,0.968188105,17,0.5595
1380,0.973720609,17,0.8693333333333334
1381,0.978907331,17,0.8361666666666666
1382,0.97406639,17,0.8471666666666667
1383,0.425311203,17,0.5296666666666666
1384,0.925311203,17,0.6908333333333333
1385,0.98824343,17,0.6006666666666667
1386,0.991355463,17,0.8208333333333334
1387,0.926694329,17,0.5966666666666667
1388,0.967150761,17,0.6696666666666667
1389,0.482019364,17,0.5206666666666667
1390,0.976141079,17,0.759
1391,0.344052559,17,0.7166666666666667
1392,0.971991701,17,0.7078333333333333
1393,0.645919779,17,0.5023333333333334
1394,0.980636238,17,0.8578637436666666
1395,0.983056708,17,0.816
1396,0.883471646,17,0.5791666666666666
122,0.893133998,32,0.626902951
123,0.865448505,32,0.6994276746666666
124,0.912513843,32,0.5918253336666667
125,0.211517165,32,0.7569101229999999
126,0.211517165,32,0.5457287033333333
127,0.210963455,32,0.6844596153333332
128,0.219822813,32,0.5371974110000001
129,0.211517165,32,0.49422155833333337
130,0.256921373,32,0.6630123226666668
131,0.222591362,32,0.6744023176666666
132,0.212070875,32,0.6565989386666667
133,0.857113904,32,0.573366729
134,0.848916762,32,0.63591326
135,0.889395667,32,0.509791492
136,0.904539927,32,0.5190300523333334
137,0.874543981,32,0.5591911589999999
138,0.417331813,32,0.5082044506666666
139,0.883694413,32,0.5225151016666667
140,0.387685291,32,0.5086620746666667
141,0.885404789,32,0.5086620746666667
142,0.335233751,32,0.5216659896666667
143,0.899657925,32,0.718282873
144,0.769099202,32,0.596422151
145,0.74059293,32,0.7863647483333334
146,0.88027366,32,0.6914576239999999
272,0.18183657,32,0.7208515346666666
273,0.177588997,32,0.590364261
274,0.184061489,32,0.5982023316666667
275,0.19579288,32,0.7729557906666665
276,0.195186084,32,0.5457287033333333
277,0.195186084,32,0.6484603376666667
278,0.195186084,32,0.5371974110000001
279,0.195186084,32,0.5130067806666666
280,0.199029126,32,0.6630123226666668
281,0.195186084,32,0.5314130663333333
282,0.199029126,32,0.6565989386666667
283,0.131536279,32,0.609474455
284,0.169498382,32,0.5170162203333334
285,0.144822006,32,0.6837144076666667
286,0.175970874,32,0.9456267593333333
287,0.194983819,32,0.5991306980000001
288,0.200444984,32,0.46396639266666667
289,0.127427184,32,0.6780266336666667
290,0.20105178,32,0.6464984283333333
291,0.123381877,32,0.6248898226666667
292,0.200242718,32,0.5216659896666667
293,0.201860841,32,0.5491424576666667
294,0.198624595,32,0.596422151
295,0.194377023,32,0.7863647483333334
296,0.179409385,32,0.7268264873333333
772,0.860722892,32,0.7147049236666666
773,0.895903614,32,0.6705768446666666
774,0.881445783,32,0.6312544263333333
775,0.22313253,32,0.7729557906666665
776,0.221204819,32,0.5563455803333333
777,0.22313253,32,0.642799685
778,0.224096386,32,0.5371974110000001
779,0.198554217,32,0.49422155833333337
780,0.168192771,32,0.6630123226666668
781,0.251566265,32,0.49634731800000004
782,0.198554217,32,0.673197996
783,0.841507904,32,0.5234273123333333
784,0.837590361,32,0.5174513213333333
785,0.854939759,32,0.5494263736666667
786,0.869879518,32,0.63658854
787,0.837590361,32,0.7143510893333334
788,0.331084337,32,0.502137852
789,0.86313253,32,0.552337229
790,0.363855422,32,0.5086620746666667
791,0.835662651,32,0.6384111843333334
792,0.253012048,32,0.5121474103333333
793,0.87373494,32,0.805092809
794,0.696385542,32,0.596422151
795,0.681445783,32,0.7863647483333334
796,0.853266888,32,0.6747596486666666
872,0.887228916,32,0.686924596
873,0.905542169,32,0.6724327290000001
874,0.916626506,32,0.6486327913333333
875,0.22313253,32,0.7569101229999999
876,0.168192771,32,0.5498810176666666
877,0.22313253,32,0.702483762
878,0.235662651,32,0.5371974110000001
879,0.221204819,32,0.49422155833333337
880,0.188915663,32,0.6630123226666668
881,0.288192771,32,0.6744023176666666
882,0.188915663,32,0.680794096
883,0.891566265,32,0.5479023166666667
884,0.866024096,32,0.5253600500000001
885,0.925301205,32,0.5505293706666666
886,0.902168675,32,0.706025198
887,0.849638554,32,0.5120699266666667
888,0.394698795,32,0.47194933833333336
889,0.927710843,32,0.5172028806666666
890,0.378313253,32,0.49841129666666667
891,0.894939759,32,0.8264361913333333
892,0.390361446,32,0.4967125003333333
893,0.906506024,32,0.9546036973333334
894,0.7552589,32,0.596422151
895,0.743122977,32,0.7863647483333334
896,0.903114887,32,0.5178145550000001
572,0.626168224,35,0.5651351893333333
573,0.775700935,35,0.5029254893333334
574,0.261682243,35,0.6339044066666667
575,0.728971963,35,0.5651128409999999
576,0.588785047,35,0.5299459453333333
577,0.981308411,35,0.5103198916666667
578,0.738317757,35,0.6912253023333333
579,0.261682243,35,0.6192888953333333
580,0.598130841,35,0.6136784353333333
581,0.242990654,35,0.5308886666666667
582,0.644859813,35,0.4911292003333334
583,0.23364486,35,0.5533291586666667
584,0.23364486,35,0.5469420783333333
585,0.672897196,35,0.6637520376666667
586,0.672897196,35,0.6732334533333333
587,0.420560748,35,0.5735514463333333
588,0.23364486,35,0.5288378546666667
589,0.23364486,35,0.7345613943333333
590,0.719626168,35,0.5949638030000001
591,0.76635514,35,0.540179503
592,0.691588785,35,0.6421582063333333
