model_id,model_type,v1,v2,v3,v4,distance,threshold,prominence,height,width
289,0,0.124729159,0.109505027,-0.132957018,0.163412724,1,0.3,0,0,0
290,0,0.124729159,0.109505027,-0.132957018,0.163412724,1,0.7,0,0,0
291,0,0.124729159,0.109505027,-0.132957018,0.163412724,100,0.3,0,0,0
292,0,0.124729159,0.109505027,-0.132957018,0.163412724,100,0.7,0,0,0
293,0,0.124729159,0.109505027,-0.132957018,0.163412724,150,0.3,0,0,0
294,0,0.124729159,0.109505027,-0.132957018,0.163412724,150,0.7,0,0,0
295,0,0.124729159,0.109505027,-0.132957018,0.163412724,200,0.3,0,0,0
296,0,0.124729159,0.109505027,-0.132957018,0.163412724,200,0.7,0,0,0
297,0,0.124729159,0.109505027,-0.132957018,0.163412724,250,0.3,0,0,0
298,0,0.124729159,0.109505027,-0.132957018,0.163412724,250,0.7,0,0,0
299,0,0.124729159,0.109505027,-0.132957018,0.163412724,300,0.3,0,0,0
300,0,0.124729159,0.109505027,-0.132957018,0.163412724,300,0.7,0,0,0
301,0,0.124729159,0.109505027,-0.132957018,0.163412724,350,0.3,0,0,0
302,0,0.124729159,0.109505027,-0.132957018,0.163412724,350,0.7,0,0,0
303,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,0,0,0
304,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,0,0,5
305,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,0,0,0
306,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,0,0,5
307,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,20,0,0
308,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,20,0,5
309,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,20,0,0
310,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,20,0,5
311,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,30,0,0
312,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,30,0,5
313,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,30,0,0
314,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,30,0,5
315,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,40,0,0
316,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,40,0,5
317,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,40,0,0
318,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,40,0,5
319,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,200,0,0
320,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,200,0,5
321,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,200,0,0
322,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,200,0,5
323,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,300,0,0
324,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,300,0,5
325,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,300,0,0
326,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,300,0,5
327,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,400,0,0
328,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,400,0,5
329,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,400,0,0
330,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,400,0,5
331,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,1000,0,0
332,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,1000,0,5
333,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,1000,0,0
334,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,1000,0,5
335,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,0,50,0
336,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,0,50,5
337,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,0,50,0
338,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,0,50,5
339,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,20,50,0
340,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,20,50,5
341,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,20,50,0
342,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,20,50,5
343,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,30,50,0
344,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,30,50,5
345,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,30,50,0
346,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,30,50,5
347,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,40,50,0
348,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,40,50,5
349,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,40,50,0
350,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,40,50,5
351,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,200,50,0
352,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,200,50,5
353,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,200,50,0
354,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,200,50,5
355,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,300,50,0
356,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,300,50,5
357,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,300,50,0
358,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,300,50,5
359,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,400,50,0
360,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,400,50,5
361,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,400,50,0
362,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,400,50,5
363,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,1000,50,0
364,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0,1000,50,5
365,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,1000,50,0
366,1,0.123656122,0.107174146,-0.123199257,0.164317589,1,0.5,1000,50,5
367,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,0,0,0
368,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,0,0,5
369,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,0,0,0
370,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,0,0,5
371,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,20,0,0
372,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,20,0,5
373,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,20,0,0
374,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,20,0,5
375,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,30,0,0
376,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,30,0,5
377,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,30,0,0
378,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,30,0,5
379,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,40,0,0
380,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,40,0,5
381,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,40,0,0
382,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,40,0,5
383,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,200,0,0
384,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,200,0,5
385,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,200,0,0
386,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,200,0,5
387,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,300,0,0
388,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,300,0,5
389,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,300,0,0
390,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,300,0,5
391,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,400,0,0
392,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,400,0,5
393,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,400,0,0
394,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,400,0,5
395,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,1000,0,0
396,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,1000,0,5
397,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,1000,0,0
398,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,1000,0,5
399,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,0,50,0
400,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,0,50,5
401,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,0,50,0
402,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,0,50,5
403,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,20,50,0
404,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,20,50,5
405,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,20,50,0
406,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,20,50,5
407,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,30,50,0
408,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,30,50,5
409,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,30,50,0
410,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,30,50,5
411,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,40,50,0
412,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,40,50,5
413,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,40,50,0
414,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,40,50,5
415,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,200,50,0
416,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,200,50,5
417,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,200,50,0
418,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,200,50,5
419,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,300,50,0
420,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,300,50,5
421,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,300,50,0
422,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,300,50,5
423,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,400,50,0
424,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,400,50,5
425,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,400,50,0
426,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,400,50,5
427,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,1000,50,0
428,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0,1000,50,5
429,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,1000,50,0
430,1,0.123656122,0.107174146,-0.123199257,0.164317589,100,0.5,1000,50,5
431,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,0,0,0
432,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,0,0,5
433,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,0,0,0
434,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,0,0,5
435,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,20,0,0
436,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,20,0,5
437,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,20,0,0
438,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,20,0,5
439,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,30,0,0
440,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,30,0,5
441,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,30,0,0
442,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,30,0,5
443,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,40,0,0
444,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,40,0,5
445,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,40,0,0
446,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,40,0,5
447,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,200,0,0
448,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,200,0,5
449,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,200,0,0
450,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,200,0,5
451,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,300,0,0
452,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,300,0,5
453,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,300,0,0
454,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,300,0,5
455,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,400,0,0
456,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,400,0,5
457,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,400,0,0
458,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,400,0,5
459,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,1000,0,0
460,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,1000,0,5
461,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,1000,0,0
462,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,1000,0,5
463,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,0,50,0
464,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,0,50,5
465,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,0,50,0
466,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,0,50,5
467,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,20,50,0
468,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,20,50,5
469,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,20,50,0
470,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,20,50,5
471,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,30,50,0
472,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,30,50,5
473,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,30,50,0
474,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,30,50,5
475,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,40,50,0
476,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,40,50,5
477,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,40,50,0
478,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,40,50,5
479,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,200,50,0
480,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,200,50,5
481,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,200,50,0
482,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,200,50,5
483,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,300,50,0
484,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,300,50,5
485,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,300,50,0
486,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,300,50,5
487,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,400,50,0
488,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,400,50,5
489,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,400,50,0
490,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,400,50,5
491,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,1000,50,0
492,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0,1000,50,5
493,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,1000,50,0
494,1,0.123656122,0.107174146,-0.123199257,0.164317589,150,0.5,1000,50,5
495,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,0,0,0
496,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,0,0,5
497,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,0,0,0
498,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,0,0,5
499,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,20,0,0
500,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,20,0,5
501,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,20,0,0
502,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,20,0,5
503,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,30,0,0
504,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,30,0,5
505,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,30,0,0
506,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,30,0,5
507,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,40,0,0
508,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,40,0,5
509,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,40,0,0
510,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,40,0,5
511,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,200,0,0
512,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,200,0,5
513,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,200,0,0
514,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,200,0,5
515,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,300,0,0
516,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,300,0,5
517,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,300,0,0
518,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0.5,300,0,5
519,1,0.123656122,0.107174146,-0.123199257,0.164317589,200,0,400,0,0
