dataset_id,v1,v2,v3,v4,v5,min_x,min_y,max_x,max_y,mean_y
0,0.008155581,0.001922379,0.059339466,0.00225214,-0.019061436,20.01313028,134.9556293,144,70493,529.9504453
1,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,1,236,13.403789
2,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,177,12.11719911
3,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,179,12.35846954
4,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,179,12.07336553
5,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,260,14.9461367
6,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,222,13.39598811
7,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,206,13.0313893
8,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,179,12.27173105
9,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,171,12.20913819
10,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,222,13.16771917
11,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,175,12.06723626
12,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,218,13.30887816
13,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,222,13.39301634
14,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,186,12.25817236
15,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,187,12.18815007
16,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,171,12.32002229
17,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,207,13.24479941
18,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,209,13.16883358
19,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,203,12.12407132
20,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,180,12.80219168
21,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,248,14.51225854
22,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,242,14.48774146
23,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,273,14.85475483
24,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,193,13.04457652
25,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,182,12.85029718
26,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,201,12.10308321
27,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,190,12.52656018
28,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,181,12.09249629
29,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,210,12.15434621
30,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,189,12.4827266
31,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,204,13.04977712
32,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,253,14.57447994
33,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,180,13.07912333
34,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,186,12.80664933
35,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,255,14.61181278
36,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,190,12.14617385
37,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,201,12.62852897
38,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,206,12.80832095
39,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,182,12.08859584
40,-0.071853593,0.041016031,0.135471687,-0.024235152,-0.111401906,10.007,79.97300241,0,177,12.16846211
41,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,472,31.27618871
42,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,190,28.87425706
43,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,246,30.11961367
44,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,204,30.78473254
45,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,476,31.18239227
46,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,456,30.94000743
47,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,201,29.61144131
48,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,226,30.40453195
49,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,509,31.28900446
50,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,466,31.20170877
51,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,480,31.22604012
52,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,185,28.7923477
53,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,487,31.09286776
54,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,229,30.23068351
55,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,200,28.81203566
56,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,201,29.71898217
57,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,226,30.35271174
58,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,462,31.26931649
59,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,189,29.01745914
60,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,257,30.10289747
61,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,179,28.8352526
62,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,438,31.3179792
63,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,479,31.17644874
64,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,168,29.73718425
65,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,460,31.32466568
66,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,482,31.33023774
67,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,178,29.05367756
68,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,245,29.98291233
69,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,205,30.7416419
70,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,199,28.71879643
71,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,192,29.20895245
72,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,413,31.04346211
73,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,467,30.75947251
74,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,490,31.36069837
75,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,194,29.54884844
76,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,209,30.55887816
77,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,471,31.32559435
78,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,190,29.71489599
79,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,211,30.61199851
80,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,493,31.09175334
81,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,476,31.00872957
82,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,433,31.08580981
83,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,475,31.19465082
84,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,451,31.10215453
85,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,195,29.15211738
86,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,258,30.05572065
87,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,490,31.21229569
88,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,202,30.72585438
89,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,197,29.86478455
90,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,240,30.12871471
91,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,205,28.75055721
92,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,493,31.26857355
93,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,152,29.87202823
94,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,469,31.21173848
95,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,510,31.21693908
96,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,254,30.27953195
97,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,194,28.86757058
98,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,190,28.69149331
99,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,202,30.85661218
100,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,437,31.05014859
101,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,474,31.2013373
102,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,250,30.07596582
103,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,189,28.85809807
104,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,467,31.27693165
105,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,187,28.72826895
106,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,511,31.19557949
107,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,501,31.31965082
108,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,444,31.12537147
109,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,220,30.5089153
110,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,178,29.66381872
111,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,498,31.11144131
112,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,497,31.08692422
113,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,211,30.58413819
114,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,185,29.38187221
115,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,473,31.23959881
116,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,248,29.75984398
117,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,169,29.08915305
118,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,470,31.17459138
119,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,484,31.22102526
120,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,440,31.00092868
121,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,204,30.54531947
122,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,238,29.82187964
123,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,8,189,29.20059435
124,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,465,31.29123328
125,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,472,31.32466568
126,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,218,30.65824666
127,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,185,29.49089896
128,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,468,31.39784547
129,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,462,31.07299406
130,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,476,30.64914562
131,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,180,29.21322437
132,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,459,31.29531947
133,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,477,31.17589153
134,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,457,30.57708024
135,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,194,29.32652303
136,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,233,30.50055721
137,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,188,29.48421248
138,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,172,28.84881129
139,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,267,29.78919019
140,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,193,30.89580238
141,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,468,31.35141159
142,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,487,31.02656018
143,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,262,29.94112184
